epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.87,0,136.377,0,0,0,0,0,0,175.891,0,0.00012,0.00012,0.00012
2,257.469,0,131.757,0,0,0,0,0,0,177.144,0,0.000254852,0.000254852,0.000254852
3,480.517,0,126.882,0,0,0,0,0,0,178.169,0,0.00038416,0.00038416,0.00038416
4,668.884,0,119.37,0,0,0,0,0,0,176.39,0,0.000507924,0.000507924,0.000507924
5,823.073,0,111.057,0,0,0,0,0,0,172.68,0,0.000626144,0.000626144,0.000626144
6,1009.72,0,103.627,0,0,0,0,0,0,189.328,0,0.00073882,0.00073882,0.00073882
7,1178.77,0,97.5973,0,0,0,0,0,0,145.927,0,0.000845952,0.000845952,0.000845952
8,1568.6,0,94.254,0,0,0,0,0,0,126.744,0,0.00094754,0.00094754,0.00094754
9,1770.34,0,89.7613,0,0,0,0,0,0,112.057,0,0.00104358,0.00104358,0.00104358
10,2109.41,0,87.165,0,0,0,0,0,0,92.1848,0,0.00113408,0.00113408,0.00113408
